,DATETIME,YEAR,MONTH,INDEX_NO,STN_NAME,DD,T,GGGG,DDD,FF,FMFM,VV,WW,N,CL1,CL2,CL3,CL4,CL5,CL6,TTT,TWTW,TDTD,RH,QFE,QFF,QNH,TXTX,RRR,TOT_RRR
2,2021-06-01 19:00:00,2021,Jun,10,CDH,1,1,1900,999.0,2.0,,60.0,2,3.0,1830.0,3075.0,,,,,29.8,25.1,22.5,65.0,967.0,1001.5,1004.0,,,
4,2021-06-01 19:30:00,2021,Jun,10,CDH,1,1,1930,999.0,2.0,,60.0,2,3.0,1630.0,3075.0,,,,,28.7,24.5,22.2,68.0,967.3,1001.9,1004.2,,,
9,2021-06-01 20:00:00,2021,Jun,10,CDH,1,1,2000,999.0,2.0,,60.0,2,3.0,1630.0,3075.0,,,,,28.0,22.4,18.7,57.0,967.4,1002.1,1004.3,,,
14,2021-06-01 20:30:00,2021,Jun,10,CDH,1,4,2030,320.0,4.0,,60.0,2,3.0,1630.0,3075.0,,,,,28.7,24.2,22.2,68.0,967.3,1001.9,1004.2,,0.0,0.0
17,2021-06-01 21:00:00,2021,Jun,10,CDH,1,1,2100,300.0,3.0,,60.0,2,3.0,1630.0,3075.0,,,,,25.6,23.6,21.8,74.0,967.5,1002.3,1004.4,,,
22,2021-06-01 21:30:00,2021,Jun,10,CDH,1,1,2130,340.0,5.0,,60.0,2,3.0,1630.0,3075.0,,,,,27.8,24.7,23.2,76.0,967.7,1002.3,1004.6,,,
25,2021-06-01 22:00:00,2021,Jun,10,CDH,1,1,2200,310.0,5.0,,60.0,2,3.0,1630.0,3075.0,,,,,27.5,25.0,23.9,81.0,967.8,1002.5,1004.7,,,
29,2021-06-01 23:00:00,2021,Jun,10,CDH,1,1,2300,250.0,3.0,,60.0,2,3.0,1630.0,3075.0,,,,,25.4,23.9,23.1,87.0,968.3,1003.3,1005.2,,,
33,2021-06-01 23:30:00,2021,Jun,10,CDH,1,4,2330,230.0,5.0,,60.0,2,3.0,1630.0,3075.0,,,,,25.0,23.8,23.2,90.0,968.6,1003.7,1005.5,,0.0,0.0
37,2021-06-02 00:00:00,2021,Jun,10,CDH,2,1,0,340.0,3.0,,60.0,2,3.0,1630.0,3075.0,,,,,25.2,24.1,23.4,92.0,968.8,1003.8,1005.7,,,
43,2021-06-02 01:00:00,2021,Jun,10,CDH,2,1,100,999.0,2.0,,60.0,2,3.0,1630.0,3075.0,,,,,25.5,24.7,24.3,93.0,969.0,1003.9,1005.9,,,
49,2021-06-02 02:00:00,2021,Jun,10,CDH,2,1,200,999.0,2.0,,60.0,2,3.0,1630.0,3075.0,,,,,25.4,25.0,24.9,97.0,968.6,1003.5,1005.5,,,
51,2021-06-02 02:30:00,2021,Jun,10,CDH,2,4,230,999.0,2.0,,60.0,2,3.0,1630.0,3075.0,,,,,25.2,24.9,24.7,97.0,968.5,1003.5,1005.4,,0.0,0.0
56,2021-06-02 03:00:00,2021,Jun,10,CDH,2,1,300,0.0,0.0,,60.0,2,3.0,1630.0,3075.0,,,,,24.6,24.3,24.1,97.0,968.5,1003.6,1005.4,,,
59,2021-06-02 04:00:00,2021,Jun,10,CDH,2,1,400,999.0,2.0,,60.0,2,3.0,1630.0,3360.0,,,,,24.1,23.5,23.3,95.0,968.7,1003.8,1005.6,,,
67,2021-06-02 05:00:00,2021,Jun,10,CDH,2,1,500,999.0,1.0,,60.0,2,3.0,1630.0,3360.0,,,,,23.8,23.2,22.9,95.0,968.7,1003.9,1005.6,,,
72,2021-06-02 05:30:00,2021,Jun,10,CDH,2,4,530,999.0,2.0,,60.0,3,4.0,1630.0,4360.0,,,,,23.6,22.3,21.5,88.0,968.9,1004.1,1005.8,,0.0,0.0
74,2021-06-02 06:00:00,2021,Jun,10,CDH,2,1,600,999.0,2.0,,60.0,2,4.0,1630.0,4360.0,,,,,24.8,22.5,21.3,81.0,969.0,1004.1,1005.9,,,
78,2021-06-02 06:30:00,2021,Jun,10,CDH,2,1,630,999.0,2.0,,60.0,3,5.0,3630.0,4360.0,,,,,25.4,22.6,20.9,76.0,969.1,1004.1,1006.0,,,
82,2021-06-02 07:00:00,2021,Jun,10,CDH,2,1,700,999.0,2.0,,60.0,2,5.0,3630.0,1835.0,4360.0,,,,27.1,23.4,21.0,69.0,969.2,1004.0,1006.1,,,
85,2021-06-02 07:30:00,2021,Jun,10,CDH,2,1,730,999.0,2.0,,60.0,2,5.0,3630.0,1835.0,4360.0,,,,27.9,23.7,21.2,67.0,969.5,1004.2,1006.4,,,
91,2021-06-02 08:00:00,2021,Jun,10,CDH,2,1,800,170.0,3.0,,60.0,1,4.0,1630.0,3360.0,,,,,28.1,13.6,21.4,67.0,969.5,1004.2,1006.4,,,
96,2021-06-02 08:30:00,2021,Jun,10,CDH,2,4,830,160.0,4.0,,60.0,1,3.0,3360.0,,,,,,28.4,23.7,21.3,65.0,969.4,1004.1,1006.4,232.0,0.0,0.0
100,2021-06-02 09:00:00,2021,Jun,10,CDH,2,1,900,160.0,5.0,,60.0,1,2.0,2360.0,,,,,,30.0,25.2,23.2,67.0,969.5,1004.0,1006.4,,,
103,2021-06-02 09:30:00,2021,Jun,10,CDH,2,1,930,160.0,7.0,,60.0,1,1.0,1360.0,,,,,,30.9,26.0,24.1,67.0,969.6,1004.0,1006.5,,,
107,2021-06-02 10:00:00,2021,Jun,10,CDH,2,1,1000,180.0,6.0,,60.0,2,1.0,1360.0,,,,,,31.2,26.3,24.1,66.0,969.7,1004.0,1006.6,,,
110,2021-06-02 10:30:00,2021,Jun,10,CDH,2,1,1030,200.0,6.0,,60.0,3,3.0,3075.0,,,,,,31.8,26.7,24.6,66.0,969.6,1003.8,1006.5,,,
116,2021-06-02 11:00:00,2021,Jun,10,CDH,2,1,1100,220.0,6.0,,60.0,2,3.0,1360.0,3075.0,,,,,32.8,27.0,24.8,63.0,969.7,1003.8,1006.6,,,
120,2021-06-02 11:30:00,2021,Jun,10,CDH,2,4,1130,200.0,7.0,,60.0,2,3.0,1630.0,3075.0,,,,,33.0,26.9,24.7,62.0,969.7,1003.8,1006.6,,0.0,0.0
121,2021-06-02 12:00:00,2021,Jun,10,CDH,2,1,1200,200.0,6.0,,60.0,2,3.0,1630.0,3075.0,,,,,33.4,27.3,25.1,62.0,969.4,1003.4,1006.3,,,
125,2021-06-02 12:30:00,2021,Jun,10,CDH,2,1,1230,200.0,7.0,,60.0,2,3.0,1630.0,3075.0,,,,,33.4,26.7,24.0,58.0,969.3,1003.4,1006.2,,,
131,2021-06-02 13:00:00,2021,Jun,10,CDH,2,1,1300,190.0,6.0,,60.0,1,2.0,1630.0,1830.0,2075.0,,,,34.1,26.8,23.8,55.0,969.0,1003.0,1006.0,,,
134,2021-06-02 13:30:00,2021,Jun,10,CDH,2,1,1330,240.0,6.0,,60.0,2,2.0,1630.0,1830.0,2075.0,,,,34.2,26.8,23.9,55.0,968.7,1002.6,1005.6,,,
137,2021-06-02 14:00:00,2021,Jun,10,CDH,2,1,1400,230.0,7.0,,60.0,2,2.0,1630.0,1830.0,,,,,34.7,26.1,22.5,49.0,968.4,1002.3,1005.3,,,
141,2021-06-02 14:30:00,2021,Jun,10,CDH,2,4,1430,230.0,6.0,,60.0,2,2.0,1630.0,1830.0,,,,,34.8,26.0,22.2,48.0,967.9,1001.8,1004.8,,0.0,0.0
145,2021-06-02 15:00:00,2021,Jun,10,CDH,2,1,1500,240.0,5.0,,60.0,2,2.0,1630.0,1830.0,,,,,34.9,26.2,22.3,48.0,967.5,1001.4,1004.4,,,
152,2021-06-02 15:30:00,2021,Jun,10,CDH,2,1,1530,240.0,5.0,,60.0,2,2.0,1630.0,1830.0,,,,,35.2,25.7,21.5,45.0,967.3,1001.1,1004.2,,,
155,2021-06-02 16:00:00,2021,Jun,10,CDH,2,1,1600,340.0,4.0,,60.0,2,2.0,1630.0,1830.0,,,,,35.7,25.6,20.9,42.0,967.6,1001.4,1004.5,,,
159,2021-06-02 16:30:00,2021,Jun,10,CDH,2,1,1630,180.0,5.0,,60.0,2,2.0,1630.0,1830.0,,,,,34.6,24.8,19.9,42.0,967.6,1001.5,1004.5,,,
164,2021-06-02 17:00:00,2021,Jun,10,CDH,2,1,1700,260.0,3.0,,60.0,2,2.0,1630.0,1830.0,,,,,35.0,25.9,21.7,46.0,967.5,1001.4,1004.4,,,
165,2021-06-02 17:30:00,2021,Jun,10,CDH,2,4,1730,230.0,5.0,,60.0,2,2.0,1630.0,1830.0,,,,,34.3,25.2,21.1,46.0,967.7,1001.7,1004.6,357.0,0.0,0.0
171,2021-06-02 18:00:00,2021,Jun,10,CDH,2,1,1800,999.0,2.0,,60.0,3,3.0,1630.0,1830.0,3360.0,,,,34.2,25.7,20.9,46.0,968.0,1002.0,1004.9,,,
174,2021-06-02 18:30:00,2021,Jun,10,CDH,2,1,1830,999.0,2.0,,60.0,2,3.0,1630.0,1830.0,3360.0,,,,33.4,25.6,21.2,49.0,968.2,1002.3,1005.1,,,
177,2021-06-02 19:00:00,2021,Jun,10,CDH,2,1,1900,50.0,5.0,,60.0,2,3.0,1630.0,3360.0,,,,,32.5,25.0,21.4,52.0,968.5,1002.7,1005.4,,,
182,2021-06-02 19:30:00,2021,Jun,10,CDH,2,1,1930,90.0,4.0,,60.0,2,4.0,1630.0,1830.0,3360.0,,,,32.2,24.7,21.1,52.0,968.9,1003.1,1005.8,,,
188,2021-06-02 20:00:00,2021,Jun,10,CDH,2,1,2000,90.0,4.0,,60.0,2,5.0,2630.0,1930.0,5360.0,,,,32.0,25.1,21.9,55.0,968.7,1002.9,1005.6,,,
189,2021-06-02 20:30:00,2021,Jun,10,CDH,2,4,2030,50.0,3.0,,60.0,2,5.0,2630.0,1930.0,5360.0,,,,30.7,24.5,21.5,58.0,968.9,1003.3,1005.8,,0.0,0.0
194,2021-06-02 21:00:00,2021,Jun,10,CDH,2,1,2100,999.0,2.0,,60.0,2,5.0,2630.0,1930.0,5360.0,,,,30.3,25.1,22.2,62.0,969.2,1003.6,1006.1,,,
200,2021-06-02 22:00:00,2021,Jun,10,CDH,2,1,2200,160.0,5.0,,60.0,2,5.0,1630.0,1930.0,5360.0,,,,28.9,24.1,21.9,66.0,970.0,1004.7,1007.0,,,
204,2021-06-02 23:00:00,2021,Jun,10,CDH,2,1,2300,120.0,5.0,,60.0,1,3.0,1630.0,1930.0,3360.0,,,,28.9,24.5,22.4,68.0,970.2,1004.9,1007.2,,,
