,DATETIME,YEAR,MONTH,INDEX_NO,STN_NAME,DD,T,GGGG,DDD,FF,FMFM,VV,WW,N,CL1,CL2,CL3,CL4,CL5,CL6,TTT,TWTW,TDTD,RH,QFE,QFF,QNH,TXTX,RRR,TOT_RRR
1,2021-06-01 19:00:00,2021,Jun,56,GKP,1,1,1900,999.0,2.0,,60.0,2,4.0,4075.0,,,,,,26.0,24.8,24.3,90.0,992.2,1001.0,1001.4,,,
5,2021-06-01 19:30:00,2021,Jun,56,GKP,1,1,1930,999.0,2.0,,60.0,2,4.0,4075.0,,,,,,25.2,24.4,24.0,93.0,992.8,1001.6,1002.1,,,
10,2021-06-01 20:00:00,2021,Jun,56,GKP,1,1,2000,999.0,1.0,,60.0,2,4.0,4075.0,,,,,,24.4,24.4,24.4,100.0,993.0,1001.9,1002.3,,,
13,2021-06-01 20:30:00,2021,Jun,56,GKP,1,4,2030,999.0,1.0,,60.0,2,4.0,4075.0,,,,,,23.6,23.6,23.6,100.0,993.1,1002.0,1002.4,,0.0,0.0
18,2021-06-01 21:00:00,2021,Jun,56,GKP,1,1,2100,999.0,2.0,,60.0,2,4.0,4075.0,,,,,,23.2,23.2,23.2,100.0,993.3,1002.2,1002.6,,,
24,2021-06-01 22:00:00,2021,Jun,56,GKP,1,1,2200,999.0,2.0,,60.0,2,4.0,4075.0,,,,,,22.4,22.4,22.4,100.0,994.1,1003.0,1003.4,,,
28,2021-06-01 23:00:00,2021,Jun,56,GKP,1,1,2300,999.0,2.0,,60.0,2,4.0,4075.0,,,,,,22.0,22.0,22.0,100.0,994.1,1003.0,1003.4,,,
35,2021-06-01 23:30:00,2021,Jun,56,GKP,1,4,2330,999.0,2.0,,60.0,2,4.0,4075.0,,,,,,22.0,22.0,22.0,100.0,993.8,1002.7,1003.1,,0.0,0.0
39,2021-06-02 00:00:00,2021,Jun,56,GKP,2,1,0,999.0,2.0,,60.0,2,3.0,3360.0,,,,,,23.0,23.0,23.0,100.0,993.7,1002.6,1003.0,,,
42,2021-06-02 01:00:00,2021,Jun,56,GKP,2,1,100,999.0,1.0,,60.0,2,3.0,3360.0,,,,,,22.8,22.8,22.8,100.0,994.8,1003.7,1004.1,,,
47,2021-06-02 02:00:00,2021,Jun,56,GKP,2,1,200,999.0,1.0,,60.0,3,4.0,2360.0,3075.0,,,,,22.8,22.8,22.8,100.0,994.6,1003.5,1003.9,,,
52,2021-06-02 02:30:00,2021,Jun,56,GKP,2,4,230,999.0,1.0,,60.0,2,4.0,2360.0,4075.0,,,,,23.0,23.0,23.0,100.0,994.3,1003.2,1003.6,,0.0,0.0
55,2021-06-02 03:00:00,2021,Jun,56,GKP,2,1,300,999.0,1.0,,60.0,2,4.0,2360.0,4075.0,,,,,22.6,22.6,22.6,100.0,994.3,1003.2,1003.6,,,
62,2021-06-02 04:00:00,2021,Jun,56,GKP,2,1,400,999.0,1.0,,50.0,10,4.0,4075.0,,,,,,22.6,22.6,22.6,100.0,994.4,1003.3,1003.7,,,
65,2021-06-02 05:00:00,2021,Jun,56,GKP,2,1,500,999.0,1.0,,40.0,10,4.0,4075.0,,,,,,22.8,22.8,22.8,100.0,994.6,1003.5,1003.9,,,
70,2021-06-02 05:30:00,2021,Jun,56,GKP,2,4,530,999.0,1.0,,30.0,10,4.0,4075.0,,,,,,23.0,23.0,23.0,100.0,994.8,1003.7,1004.1,,0.0,0.0
73,2021-06-02 06:00:00,2021,Jun,56,GKP,2,1,600,999.0,1.0,,40.0,10,3.0,3075.0,,,,,,23.2,23.2,23.2,100.0,994.8,1003.7,1004.1,,,
80,2021-06-02 06:30:00,2021,Jun,56,GKP,2,1,630,999.0,1.0,,50.0,10,3.0,3075.0,,,,,,24.8,24.8,24.8,100.0,995.0,1003.8,1004.3,,,
83,2021-06-02 07:00:00,2021,Jun,56,GKP,2,1,700,999.0,1.0,,60.0,2,3.0,3075.0,,,,,,27.0,27.0,27.0,100.0,995.2,1004.0,1004.5,,,
87,2021-06-02 07:30:00,2021,Jun,56,GKP,2,1,730,999.0,2.0,,60.0,2,3.0,3075.0,,,,,,27.2,26.0,25.9,90.0,995.2,1003.9,1004.5,,,
90,2021-06-02 08:00:00,2021,Jun,56,GKP,2,1,800,999.0,2.0,,60.0,1,2.0,2075.0,,,,,,28.2,25.0,25.0,83.0,995.6,1004.4,1004.8,,,
94,2021-06-02 08:30:00,2021,Jun,56,GKP,2,4,830,999.0,2.0,,60.0,2,2.0,2075.0,,,,,,28.2,25.0,25.0,82.0,995.7,1004.5,1004.9,218.0,0.0,25.8
