DATETIME,YEAR,MONTH,INDEX_NO,STN_NAME,DD,T,GGGG,DDD,FF,FMFM,VV,WW,N,CL1,CL2,CL3,CL4,CL5,CL6,TTT,TWTW,TDTD,RH,QFE,QFF,QNH,RRR,TOT_RRR,MIN,MAX,FMFM_bin,RRR_bin,Wx,Wy,Max_Wx,Max_Wy
2020-12-01 01:00:00,2020,Dec,56.0,GKP,01,1,100.0,0,1,0,2000,10.0,1,1075.0,,,,,,11.6,11.6,11.6,100,1006.7,1016.0,10161.0,0.0,,9.6,27.2,0,0,1.0,0.0,5.0,0.0
2020-12-01 02:00:00,2020,Dec,56.0,GKP,01,1,200.0,0,1,0,2000,10.0,1,1075.0,,,,,,11.2,11.2,11.2,100,1006.3,1015.6,10157.0,0.0,,9.6,27.2,0,0,1.0,0.0,5.0,0.0
2020-12-01 03:00:00,2020,Dec,56.0,GKP,01,1,300.0,0,0,0,2000,10.0,0,,,,,,,11.1,11.1,11.1,100,1006.2,1015.5,10156.0,0.0,,9.6,27.2,0,0,0.0,0.0,5.0,0.0
2020-12-01 04:00:00,2020,Dec,56.0,GKP,01,1,400.0,0,0,0,1500,10.0,0,,,,,,,10.8,10.8,10.8,100,1006.5,1015.9,10159.0,0.0,,9.6,27.2,0,0,0.0,0.0,5.0,0.0
2020-12-01 05:00:00,2020,Dec,56.0,GKP,01,1,500.0,0,0,0,1500,10.0,0,,,,,,,10.6,10.6,10.6,100,1006.7,1016.1,10161.0,0.0,,9.6,27.2,0,0,0.0,0.0,5.0,0.0
2020-12-01 06:00:00,2020,Dec,56.0,GKP,01,1,600.0,0,0,0,500,44.0,0,,,,,,,9.8,9.8,9.8,100,1007.1,1016.5,10165.0,0.0,,9.6,27.2,0,0,0.0,0.0,5.0,0.0
2020-12-01 07:00:00,2020,Dec,56.0,GKP,01,1,700.0,0,0,0,600,42.0,0,,,,,,,10.4,10.4,10.4,100,1007.8,1017.2,10172.0,0.0,,9.6,27.2,0,0,0.0,0.0,5.0,0.0
2020-12-01 08:00:00,2020,Dec,56.0,GKP,01,1,800.0,0,0,0,800,44.0,0,,,,,,,13.2,13.2,13.2,100,1008.7,1018.0,10180.0,0.0,,9.6,27.2,0,0,0.0,0.0,5.0,0.0
2020-12-01 09:00:00,2020,Dec,56.0,GKP,01,1,900.0,0,1,0,1000,10.0,0,,,,,,,17.4,17.4,17.4,100,1009.3,1018.5,10187.0,0.0,,9.6,27.2,0,0,1.0,0.0,5.0,0.0
2020-12-01 10:00:00,2020,Dec,56.0,GKP,01,1,1000.0,0,2,0,1200,10.0,0,,,,,,,20.8,18.4,16.9,78,1009.5,1018.7,10189.0,0.0,,9.6,27.2,0,0,2.0,0.0,5.0,0.0
