,DATETIME,YEAR,MONTH,INDEX_NO,STN_NAME,DD,T,GGGG,DDD,FF,FMFM,VV,WW,N,CL1,CL2,CL3,CL4,CL5,CL6,TTT,TWTW,TDTD,RH,QFE,QFF,QNH,TXTX,RRR,TOT_RRR
3,2021-06-01 19:00:00,2021,Jun,17,HND,1,1,1900,999.0,2.0,,60.0,2,3.0,1630.0,3360.0,,,,,29.4,24.4,22.0,65.0,977.8,1001.7,1003.0,,,
7,2021-06-01 19:30:00,2021,Jun,17,HND,1,1,1930,999.0,1.0,,60.0,2,3.0,1630.0,3360.0,,,,,28.8,23.8,21.3,64.0,978.5,1002.5,1003.8,,,
11,2021-06-01 20:00:00,2021,Jun,17,HND,1,1,2000,999.0,2.0,,60.0,2,3.0,1630.0,3360.0,,,,,28.4,24.2,22.2,69.0,978.5,1002.5,1003.8,,,
12,2021-06-01 20:30:00,2021,Jun,17,HND,1,4,2030,999.0,2.0,,60.0,2,3.0,1630.0,3360.0,,,,,28.0,23.8,21.8,69.0,978.4,1002.4,1003.7,,0.0,0.0
16,2021-06-01 21:00:00,2021,Jun,17,HND,1,1,2100,999.0,2.0,,60.0,2,3.0,1630.0,3360.0,,,,,27.6,24.0,22.3,73.0,978.0,1001.8,1003.2,,,
21,2021-06-01 21:30:00,2021,Jun,17,HND,1,1,2130,999.0,1.0,,60.0,1,2.0,2360.0,,,,,,27.0,23.8,21.8,75.0,978.5,1002.3,1003.8,,,
23,2021-06-01 22:00:00,2021,Jun,17,HND,1,1,2200,999.0,2.0,,60.0,2,2.0,2360.0,,,,,,27.0,23.8,21.8,75.0,979.0,1002.8,1004.3,,,
31,2021-06-01 23:00:00,2021,Jun,17,HND,1,1,2300,999.0,2.0,,60.0,2,2.0,2360.0,,,,,,27.0,23.8,21.8,75.0,979.3,1003.1,1004.6,,,
34,2021-06-01 23:30:00,2021,Jun,17,HND,1,4,2330,999.0,2.0,,60.0,2,0.0,,,,,,,27.0,23.8,21.8,75.0,979.6,1003.4,1004.9,,0.0,0.0
36,2021-06-02 00:00:00,2021,Jun,17,HND,2,1,0,999.0,2.0,,60.0,2,0.0,,,,,,,27.0,23.8,21.8,75.0,979.6,1003.4,1004.9,,,
41,2021-06-02 01:00:00,2021,Jun,17,HND,2,1,100,999.0,2.0,,60.0,2,0.0,,,,,,,26.0,24.0,23.7,84.0,979.2,1003.0,1004.5,,,
46,2021-06-02 02:00:00,2021,Jun,17,HND,2,1,200,999.0,2.0,,60.0,2,0.0,,,,,,,26.0,24.0,23.7,84.0,978.9,1002.7,1004.2,,,
50,2021-06-02 02:30:00,2021,Jun,17,HND,2,4,230,999.0,2.0,,50.0,2,0.0,,,,,,,26.0,24.0,23.7,84.0,979.1,1002.8,1004.3,,0.0,0.0
54,2021-06-02 03:00:00,2021,Jun,17,HND,2,1,300,999.0,2.0,,40.0,4,0.0,,,,,,,25.4,23.4,22.4,84.0,979.0,1002.7,1004.2,,,
61,2021-06-02 04:00:00,2021,Jun,17,HND,2,1,400,999.0,2.0,,30.0,10,0.0,,,,,,,24.8,23.0,22.2,84.0,979.4,1003.3,1004.7,,,
63,2021-06-02 04:30:00,2021,Jun,17,HND,2,1,430,999.0,1.0,,20.0,10,0.0,,,,,,,24.8,23.0,22.2,84.0,979.4,1003.3,1004.7,,,
66,2021-06-02 05:00:00,2021,Jun,17,HND,2,1,500,999.0,2.0,,15.0,10,0.0,,,,,,,25.0,23.2,22.3,85.0,979.5,1003.4,1004.8,,,
71,2021-06-02 05:30:00,2021,Jun,17,HND,2,4,530,999.0,2.0,,12.0,10,2.0,2360.0,,,,,,24.8,23.0,22.2,84.0,979.7,1003.6,1005.0,,0.0,0.0
75,2021-06-02 06:00:00,2021,Jun,17,HND,2,1,600,999.0,2.0,,12.0,10,2.0,2360.0,,,,,,25.2,23.2,22.2,84.0,980.0,1004.0,1005.3,,,
77,2021-06-02 06:30:00,2021,Jun,17,HND,2,1,630,999.0,2.0,,12.0,10,2.0,2360.0,,,,,,25.6,23.4,22.3,82.0,980.0,1004.0,1005.3,,,
84,2021-06-02 07:00:00,2021,Jun,17,HND,2,1,700,999.0,2.0,,15.0,10,2.0,2360.0,,,,,,26.2,23.8,22.7,81.0,980.5,1004.5,1005.8,,,
88,2021-06-02 07:30:00,2021,Jun,17,HND,2,1,730,999.0,2.0,,20.0,10,2.0,2360.0,,,,,,27.0,23.8,22.3,75.0,981.0,1004.9,1006.3,,,
92,2021-06-02 08:00:00,2021,Jun,17,HND,2,1,800,999.0,2.0,,28.0,3,3.0,3360.0,,,,,,28.0,24.0,22.1,70.0,981.4,1005.2,1006.7,,,
93,2021-06-02 08:30:00,2021,Jun,17,HND,2,4,830,70.0,5.0,,35.0,5,4.0,2360.0,3075.0,,,,,28.8,24.4,22.3,68.0,981.3,1005.0,1006.6,244.0,0.0,0.0
97,2021-06-02 09:00:00,2021,Jun,17,HND,2,1,900,70.0,5.0,,45.0,5,2.0,2075.0,,,,,,29.6,24.6,22.2,65.0,981.0,1004.7,1006.3,,,
