,DATETIME,YEAR,MONTH,INDEX_NO,STN_NAME,DD,T,GGGG,DDD,FF,FMFM,VV,WW,N,CL1,CL2,CL3,CL4,CL5,CL6,TTT,TWTW,TDTD,RH,QFE,QFF,QNH,TXTX,RRR,TOT_RRR
3,2021-09-05 02:30:00,2021,Sep,1,SNG,5,4,230,200.0,3.0,,50.0,4,1.0,1625.0,,,,,,19.3,16.1,13.7,70.0,829.0,1445.0,1012.9,,0.0,0.0
4,2021-09-05 03:00:00,2021,Sep,1,SNG,5,1,300,210.0,3.0,,50.0,4,1.0,1625.0,,,,,,18.4,15.8,13.9,75.0,828.9,1444.0,1012.8,,,
8,2021-09-05 03:30:00,2021,Sep,1,SNG,5,1,330,120.0,3.0,,50.0,4,1.0,1625.0,,,,,,16.5,14.8,13.5,82.0,829.0,1447.0,1012.9,,,
9,2021-09-05 04:00:00,2021,Sep,1,SNG,5,1,400,999.0,2.0,,50.0,4,1.0,1625.0,,,,,,16.8,14.9,13.3,80.0,829.0,1447.0,1012.9,,,
13,2021-09-05 04:30:00,2021,Sep,1,SNG,5,1,430,999.0,2.0,,40.0,4,1.0,1625.0,,,,,,17.1,14.9,13.2,78.0,829.0,1446.0,1012.9,,,
14,2021-09-05 05:00:00,2021,Sep,1,SNG,5,1,500,999.0,1.0,,30.0,4,1.0,1625.0,,,,,,16.8,14.7,12.9,78.0,829.3,1450.0,1013.2,,,
21,2021-09-05 05:30:00,2021,Sep,1,SNG,5,4,530,999.0,1.0,,25.0,4,2.0,2360.0,,,,,,17.3,14.8,12.6,73.0,829.5,1450.0,1013.5,,0.0,0.0
26,2021-09-05 06:00:00,2021,Sep,1,SNG,5,1,600,270.0,3.0,,20.0,4,2.0,2360.0,,,,,,16.1,14.3,12.9,81.0,829.9,1456.0,1013.9,,,
27,2021-09-05 06:30:00,2021,Sep,1,SNG,5,1,630,250.0,3.0,,20.0,4,4.0,4360.0,,,,,,16.6,14.8,13.3,81.0,830.3,1460.0,1014.4,,,
32,2021-09-05 07:00:00,2021,Sep,1,SNG,5,1,700,270.0,3.0,,25.0,4,3.0,3360.0,,,,,,18.5,15.6,13.4,72.0,830.6,1461.0,1014.8,,,
