DATETIME,YEAR,MONTH,INDEX_NO,STN_NAME,DD,T,GGGG,DDD,FF,FMFM,VV,WW,N,CL1,CL2,CL3,CL4,CL5,CL6,TTT,TWTW,TDTD,RH,QFE,QFF,QNH,RRR,TOT_RRR,MIN,MAX,FMFM_bin,RRR_bin,Wx,Wy,Max_Wx,Max_Wy
2020-12-01 03:30:00,2020,Dec,1,SNG,01,1,330,220,1,0,2000,10.0,6,4359.0,5070.0,,,,,4.2,3.7,2.7,90,840.2,1566.0,10260.0,0.0,,1.7,14.2,0,0,-0.7660444431189782,-0.6427876096865393,-6.128355544951826,-5.142300877492314
2020-12-01 04:30:00,2020,Dec,1,SNG,01,1,430,220,1,0,2000,10.0,4,2359.0,3070.0,,,,,3.0,2.8,2.6,97,840.0,1565.0,10256.0,0.0,,1.7,14.2,0,0,-0.7660444431189782,-0.6427876096865393,-6.128355544951826,-5.142300877492314
2020-12-01 05:30:00,2020,Dec,1,SNG,01,4,530,230,3,0,1500,10.0,4,2359.0,3070.0,,,,,3.6,2.9,2.0,89,840.0,1565.0,10257.0,0.0,0.0,1.7,14.2,0,0,-1.9283628290596184,-2.298133329356934,-5.142300877492316,-6.128355544951824
2020-12-01 06:30:00,2020,Dec,1,SNG,01,1,630,100,2,0,1500,10.0,5,2359.0,5070.0,,,,,1.7,1.5,1.1,96,840.7,1573.0,10265.0,0.0,,1.7,14.2,0,0,-0.34729635533386066,1.9696155060244163,-1.3891854213354426,7.878462024097665
2020-12-01 07:30:00,2020,Dec,1,SNG,01,1,730,210,3,0,1000,10.0,4,2360.0,4070.0,,,,,3.0,2.5,1.8,92,841.2,1577.0,10271.0,0.0,,1.7,14.2,0,0,-2.5980762113533156,-1.5000000000000004,-6.928203230275508,-4.000000000000001
2020-12-01 08:30:00,2020,Dec,1,SNG,01,4,830,230,2,0,1500,10.0,4,2360.0,4070.0,,,,,2.2,1.8,1.0,92,841.7,1582.0,10277.0,0.0,0.0,1.7,14.2,0,0,-1.285575219373079,-1.532088886237956,-5.142300877492316,-6.128355544951824
2020-12-01 09:30:00,2020,Dec,1,SNG,01,1,930,250,1,0,1800,10.0,4,2360.0,4070.0,,,,,5.3,4.8,3.8,90,842.0,1584.0,10281.0,0.0,,1.7,14.2,0,0,-0.3420201433256694,-0.9396926207859081,-2.736161146605355,-7.517540966287265
2020-12-01 10:30:00,2020,Dec,1,SNG,01,1,1030,280,2,0,2000,10.0,4,2360.0,4070.0,,,,,7.7,6.3,4.4,80,842.4,1587.0,10285.0,0.0,,1.7,14.2,0,0,0.34729635533385994,-1.9696155060244163,1.3891854213354398,-7.878462024097665
2020-12-01 11:30:00,2020,Dec,1,SNG,01,4,1130,300,2,0,2000,5.0,3,2360.0,3070.0,,,,,9.5,7.3,4.4,70,842.0,1582.0,10281.0,0.0,0.0,1.7,14.2,0,0,1.0,-1.732050807568877,4.0,-6.928203230275508
2020-12-01 12:30:00,2020,Dec,1,SNG,01,1,1230,320,4,0,2000,5.0,3,3070.0,,,,,,11.4,8.2,4.8,64,841.4,1575.0,10274.0,0.0,,1.7,14.2,0,0,3.0641777724759116,-2.571150438746158,6.128355544951823,-5.142300877492316
