DATETIME,YEAR,MONTH,INDEX_NO,STN_NAME,DD,T,GGGG,DDD,FF,FMFM,VV,WW,N,CL1,CL2,CL3,CL4,CL5,CL6,TTT,TWTW,TDTD,RH,QFE,QFF,QNH,TXTX,RRR,TOT_RRR
2021-06-01 19:00:00,2021,Jun,1,SNG,1,1,1900,150.0,4.0,,60.0,2,7.0,4625.0,1930.0,5359.0,,,,14.5,14.1,13.9,96.0,831.5,1474.0,1015.8,,,
2021-06-01 19:00:00,2021,Jun,56,GKP,1,1,1900,999.0,2.0,,60.0,2,4.0,4075.0,,,,,,26.0,24.8,24.3,90.0,992.2,1001.0,1001.4,,,
2021-06-01 19:00:00,2021,Jun,10,CDH,1,1,1900,999.0,2.0,,60.0,2,3.0,1830.0,3075.0,,,,,29.8,25.1,22.5,65.0,967.0,1001.5,1004.0,,,
2021-06-01 19:00:00,2021,Jun,17,HND,1,1,1900,999.0,2.0,,60.0,2,3.0,1630.0,3360.0,,,,,29.4,24.4,22.0,65.0,977.8,1001.7,1003.0,,,
2021-06-01 19:30:00,2021,Jun,10,CDH,1,1,1930,999.0,2.0,,60.0,2,3.0,1630.0,3075.0,,,,,28.7,24.5,22.2,68.0,967.3,1001.9,1004.2,,,
2021-06-01 19:30:00,2021,Jun,56,GKP,1,1,1930,999.0,2.0,,60.0,2,4.0,4075.0,,,,,,25.2,24.4,24.0,93.0,992.8,1001.6,1002.1,,,
2021-06-01 19:30:00,2021,Jun,1,SNG,1,1,1930,130.0,8.0,,60.0,2,7.0,4625.0,1930.0,6359.0,,,,14.0,13.4,13.0,94.0,831.9,1478.0,1016.2,,,
2021-06-01 19:30:00,2021,Jun,17,HND,1,1,1930,999.0,1.0,,60.0,2,3.0,1630.0,3360.0,,,,,28.8,23.8,21.3,64.0,978.5,1002.5,1003.8,,,
2021-06-01 20:00:00,2021,Jun,1,SNG,1,1,2000,130.0,7.0,,60.0,2,8.0,4625.0,1930.0,7359.0,,,,13.9,13.5,13.2,96.0,832.4,1483.0,1016.9,,,
2021-06-01 20:00:00,2021,Jun,10,CDH,1,1,2000,999.0,2.0,,60.0,2,3.0,1630.0,3075.0,,,,,28.0,22.4,18.7,57.0,967.4,1002.1,1004.3,,,
2021-06-01 20:00:00,2021,Jun,56,GKP,1,1,2000,999.0,1.0,,60.0,2,4.0,4075.0,,,,,,24.4,24.4,24.4,100.0,993.0,1001.9,1002.3,,,
2021-06-01 20:00:00,2021,Jun,17,HND,1,1,2000,999.0,2.0,,60.0,2,3.0,1630.0,3360.0,,,,,28.4,24.2,22.2,69.0,978.5,1002.5,1003.8,,,
2021-06-01 20:30:00,2021,Jun,1,SNG,1,4,2030,160.0,10.0,,60.0,2,8.0,2620.0,4625.0,1930.0,7359.0,,,13.7,13.4,13.2,97.0,832.5,1484.0,1017.0,,0.001,0.001
2021-06-01 20:30:00,2021,Jun,10,CDH,1,4,2030,320.0,4.0,,60.0,2,3.0,1630.0,3075.0,,,,,28.7,24.2,22.2,68.0,967.3,1001.9,1004.2,,0.0,0.0
2021-06-01 20:30:00,2021,Jun,17,HND,1,4,2030,999.0,2.0,,60.0,2,3.0,1630.0,3360.0,,,,,28.0,23.8,21.8,69.0,978.4,1002.4,1003.7,,0.0,0.0
2021-06-01 20:30:00,2021,Jun,56,GKP,1,4,2030,999.0,1.0,,60.0,2,4.0,4075.0,,,,,,23.6,23.6,23.6,100.0,993.1,1002.0,1002.4,,0.0,0.0
2021-06-01 21:00:00,2021,Jun,17,HND,1,1,2100,999.0,2.0,,60.0,2,3.0,1630.0,3360.0,,,,,27.6,24.0,22.3,73.0,978.0,1001.8,1003.2,,,
2021-06-01 21:00:00,2021,Jun,10,CDH,1,1,2100,300.0,3.0,,60.0,2,3.0,1630.0,3075.0,,,,,25.6,23.6,21.8,74.0,967.5,1002.3,1004.4,,,
2021-06-01 21:00:00,2021,Jun,56,GKP,1,1,2100,999.0,2.0,,60.0,2,4.0,4075.0,,,,,,23.2,23.2,23.2,100.0,993.3,1002.2,1002.6,,,
2021-06-01 21:00:00,2021,Jun,1,SNG,1,1,2100,180.0,8.0,,60.0,1,6.0,3625.0,5359.0,,,,,13.7,13.3,12.9,95.0,832.6,1485.0,1017.1,,,
2021-06-01 21:30:00,2021,Jun,1,SNG,1,1,2130,160.0,5.0,,60.0,2,6.0,3625.0,5359.0,,,,,13.8,13.0,12.4,91.0,832.7,1486.0,1017.2,,,
2021-06-01 21:30:00,2021,Jun,17,HND,1,1,2130,999.0,1.0,,60.0,1,2.0,2360.0,,,,,,27.0,23.8,21.8,75.0,978.5,1002.3,1003.8,,,
2021-06-01 21:30:00,2021,Jun,10,CDH,1,1,2130,340.0,5.0,,60.0,2,3.0,1630.0,3075.0,,,,,27.8,24.7,23.2,76.0,967.7,1002.3,1004.6,,,
2021-06-01 22:00:00,2021,Jun,17,HND,1,1,2200,999.0,2.0,,60.0,2,2.0,2360.0,,,,,,27.0,23.8,21.8,75.0,979.0,1002.8,1004.3,,,
2021-06-01 22:00:00,2021,Jun,56,GKP,1,1,2200,999.0,2.0,,60.0,2,4.0,4075.0,,,,,,22.4,22.4,22.4,100.0,994.1,1003.0,1003.4,,,
2021-06-01 22:00:00,2021,Jun,10,CDH,1,1,2200,310.0,5.0,,60.0,2,3.0,1630.0,3075.0,,,,,27.5,25.0,23.9,81.0,967.8,1002.5,1004.7,,,
2021-06-01 22:00:00,2021,Jun,1,SNG,1,1,2200,160.0,5.0,,60.0,1,5.0,3625.0,4359.0,,,,,13.6,12.7,12.0,90.0,832.8,1487.0,1017.3,,,
2021-06-01 22:30:00,2021,Jun,1,SNG,1,1,2230,200.0,3.0,,60.0,2,5.0,3625.0,4359.0,,,,,13.8,12.6,11.6,87.0,832.9,1488.0,1017.4,,,
2021-06-01 23:00:00,2021,Jun,1,SNG,1,1,2300,999.0,2.0,,60.0,1,4.0,2625.0,3359.0,,,,,12.6,12.0,11.5,93.0,832.9,1489.0,1017.4,,,
2021-06-01 23:00:00,2021,Jun,17,HND,1,1,2300,999.0,2.0,,60.0,2,2.0,2360.0,,,,,,27.0,23.8,21.8,75.0,979.3,1003.1,1004.6,,,
2021-06-01 23:00:00,2021,Jun,56,GKP,1,1,2300,999.0,2.0,,60.0,2,4.0,4075.0,,,,,,22.0,22.0,22.0,100.0,994.1,1003.0,1003.4,,,
2021-06-01 23:00:00,2021,Jun,10,CDH,1,1,2300,250.0,3.0,,60.0,2,3.0,1630.0,3075.0,,,,,25.4,23.9,23.1,87.0,968.3,1003.3,1005.2,,,
2021-06-01 23:30:00,2021,Jun,1,SNG,1,4,2330,999.0,2.0,,60.0,2,4.0,2625.0,3359.0,,,,,12.6,12.4,12.1,97.0,832.6,1486.0,1017.0,,0.0,0.0
2021-06-01 23:30:00,2021,Jun,10,CDH,1,4,2330,230.0,5.0,,60.0,2,3.0,1630.0,3075.0,,,,,25.0,23.8,23.2,90.0,968.6,1003.7,1005.5,,0.0,0.0
2021-06-01 23:30:00,2021,Jun,17,HND,1,4,2330,999.0,2.0,,60.0,2,0.0,,,,,,,27.0,23.8,21.8,75.0,979.6,1003.4,1004.9,,0.0,0.0
2021-06-01 23:30:00,2021,Jun,56,GKP,1,4,2330,999.0,2.0,,60.0,2,4.0,4075.0,,,,,,22.0,22.0,22.0,100.0,993.8,1002.7,1003.1,,0.0,0.0
2021-06-02 00:00:00,2021,Jun,56,GKP,2,1,0,999.0,2.0,,60.0,2,3.0,3360.0,,,,,,23.0,23.0,23.0,100.0,993.7,1002.6,1003.0,,,
2021-06-02 00:00:00,2021,Jun,1,SNG,2,1,0,999.0,2.0,,60.0,2,4.0,2625.0,3359.0,,,,,12.0,11.9,11.7,97.0,832.6,1486.0,1017.1,,,
2021-06-02 00:00:00,2021,Jun,17,HND,2,1,0,999.0,2.0,,60.0,2,0.0,,,,,,,27.0,23.8,21.8,75.0,979.6,1003.4,1004.9,,,
2021-06-02 00:00:00,2021,Jun,10,CDH,2,1,0,340.0,3.0,,60.0,2,3.0,1630.0,3075.0,,,,,25.2,24.1,23.4,92.0,968.8,1003.8,1005.7,,,
2021-06-02 00:30:00,2021,Jun,1,SNG,2,1,30,999.0,2.0,,60.0,2,4.0,2625.0,3359.0,,,,,11.4,11.3,11.2,99.0,832.6,1486.0,1017.1,,,
2021-06-02 01:00:00,2021,Jun,17,HND,2,1,100,999.0,2.0,,60.0,2,0.0,,,,,,,26.0,24.0,23.7,84.0,979.2,1003.0,1004.5,,,
2021-06-02 01:00:00,2021,Jun,56,GKP,2,1,100,999.0,1.0,,60.0,2,3.0,3360.0,,,,,,22.8,22.8,22.8,100.0,994.8,1003.7,1004.1,,,
2021-06-02 01:00:00,2021,Jun,10,CDH,2,1,100,999.0,2.0,,60.0,2,3.0,1630.0,3075.0,,,,,25.5,24.7,24.3,93.0,969.0,1003.9,1005.9,,,
2021-06-02 01:00:00,2021,Jun,1,SNG,2,1,100,300.0,3.0,,60.0,1,3.0,1625.0,3360.0,,,,,11.4,11.3,11.2,99.0,832.6,1486.0,1017.0,,,
2021-06-02 01:30:00,2021,Jun,1,SNG,2,1,130,270.0,3.0,,60.0,2,3.0,1625.0,3360.0,,,,,11.3,11.3,11.3,100.0,832.6,1486.0,1017.0,,,
2021-06-02 02:00:00,2021,Jun,10,CDH,2,1,200,999.0,2.0,,60.0,2,3.0,1630.0,3075.0,,,,,25.4,25.0,24.9,97.0,968.6,1003.5,1005.5,,,
2021-06-02 02:00:00,2021,Jun,1,SNG,2,1,200,250.0,3.0,,60.0,2,3.0,1625.0,3360.0,,,,,11.5,11.5,11.5,100.0,832.5,1485.0,1016.9,,,
